,Nash
30,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
31,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
32,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.39704803, 0.0, 0.60295197], [0.38057997, 0.61942003, 0.0]), ([0.22419287, 0.39710237, 0.37870477], [0.28180734, 0.52798346, 0.19020919]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.39704803, 0.0, 0.60295197], [0.38057997, 0.61942003, 0.0]), ([0.22419287, 0.39710237, 0.37870477], [0.28180734, 0.52798346, 0.19020919]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.39704803, 0.0, 0.60295197], [0.38057997, 0.61942003, 0.0]), ([0.22419287, 0.39710237, 0.37870477], [0.28180734, 0.52798346, 0.19020919]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
33,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
34,"[([0.33613801, 0.0, 0.66386199], [0.13810958, 0.0, 0.86189042]), ([0.33613801, 0.0, 0.66386199], [0.13810958, 0.0, 0.86189042]), ([0.33613801, 0.0, 0.66386199], [0.13810958, 0.0, 0.86189042]), ([0.33613801, 0.0, 0.66386199], [0.13810958, 0.0, 0.86189042]), ([0.33613801, 0.0, 0.66386199], [0.13810958, 0.0, 0.86189042]), ([0.33613801, 0.0, 0.66386199], [0.13810958, 0.0, 0.86189042]), ([0.33613801, 0.0, 0.66386199], [0.13810958, 0.0, 0.86189042]), ([0.33613801, 0.0, 0.66386199], [0.13810958, 0.0, 0.86189042]), ([0.33613801, 0.0, 0.66386199], [0.13810958, 0.0, 0.86189042]), ([0.33613801, 0.0, 0.66386199], [0.13810958, 0.0, 0.86189042])]"
35,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
36,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.299841, 0.0, 0.700159], [0.22092435, 0.77907565, 0.0]), ([0.0, 0.89582106, 0.10417894], [0.0, 0.0164563, 0.9835437]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.299841, 0.0, 0.700159], [0.22092435, 0.77907565, 0.0]), ([0.0, 0.89582106, 0.10417894], [0.0, 0.0164563, 0.9835437]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.299841, 0.0, 0.700159], [0.22092435, 0.77907565, 0.0]), ([0.0, 0.89582106, 0.10417894], [0.0, 0.0164563, 0.9835437]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
37,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.21880978, 0.78119022, 0.0], [0.92012718, 0.07987282, 0.0]), ([0.23354523, 0.0, 0.76645477], [0.0, 0.25578872, 0.74421128]), ([0.0, 0.52628108, 0.47371892], [0.05655039, 0.0, 0.94344961]), ([0.10853403, 0.51225923, 0.37920673], [0.03869181, 0.23218272, 0.72912547]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
38,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.82797606, 0.17202394], [0.56144292, 0.43855708, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.82797606, 0.17202394], [0.56144292, 0.43855708, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.82797606, 0.17202394], [0.56144292, 0.43855708, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
39,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
40,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
41,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
42,"[([0.0, 0.74486485, 0.25513515], [0.05416991, 0.94583009, 0.0]), ([0.0, 0.74486485, 0.25513515], [0.05416991, 0.94583009, 0.0]), ([0.0, 0.74486485, 0.25513515], [0.05416991, 0.94583009, 0.0]), ([0.0, 0.74486485, 0.25513515], [0.05416991, 0.94583009, 0.0]), ([0.0, 0.74486485, 0.25513515], [0.05416991, 0.94583009, 0.0]), ([0.0, 0.74486485, 0.25513515], [0.05416991, 0.94583009, 0.0]), ([0.0, 0.74486485, 0.25513515], [0.05416991, 0.94583009, 0.0]), ([0.0, 0.74486485, 0.25513515], [0.05416991, 0.94583009, 0.0]), ([0.0, 0.74486485, 0.25513515], [0.05416991, 0.94583009, 0.0]), ([0.0, 0.74486485, 0.25513515], [0.05416991, 0.94583009, 0.0])]"
43,"[([0.0, 0.27129582, 0.72870418], [0.2175596, 0.0, 0.7824404]), ([0.0, 0.27129582, 0.72870418], [0.2175596, 0.0, 0.7824404]), ([0.0, 0.27129582, 0.72870418], [0.2175596, 0.0, 0.7824404]), ([0.0, 0.27129582, 0.72870418], [0.2175596, 0.0, 0.7824404]), ([0.0, 0.27129582, 0.72870418], [0.2175596, 0.0, 0.7824404]), ([0.0, 0.27129582, 0.72870418], [0.2175596, 0.0, 0.7824404]), ([0.0, 0.27129582, 0.72870418], [0.2175596, 0.0, 0.7824404]), ([0.0, 0.27129582, 0.72870418], [0.2175596, 0.0, 0.7824404]), ([0.0, 0.27129582, 0.72870418], [0.2175596, 0.0, 0.7824404]), ([0.0, 0.27129582, 0.72870418], [0.2175596, 0.0, 0.7824404])]"
44,"[([0.82627516, 0.17372484, 0.0], [0.0, 0.25765708, 0.74234292]), ([0.03129709, 0.0, 0.96870291], [0.50773436, 0.0, 0.49226564]), ([0.70732708, 0.01807519, 0.27459773], [0.44676561, 0.10346283, 0.44977157]), ([0.82627516, 0.17372484, 0.0], [0.0, 0.25765708, 0.74234292]), ([0.03129709, 0.0, 0.96870291], [0.50773436, 0.0, 0.49226564]), ([0.70732708, 0.01807519, 0.27459773], [0.44676561, 0.10346283, 0.44977157]), ([0.82627516, 0.17372484, 0.0], [0.0, 0.25765708, 0.74234292]), ([0.03129709, 0.0, 0.96870291], [0.50773436, 0.0, 0.49226564]), ([0.70732708, 0.01807519, 0.27459773], [0.44676561, 0.10346283, 0.44977157]), ([0.82627516, 0.17372484, 0.0], [0.0, 0.25765708, 0.74234292])]"
45,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.4030285, 0.5969715], [0.36840286, 0.0, 0.63159714]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.4030285, 0.5969715], [0.36840286, 0.0, 0.63159714]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.4030285, 0.5969715], [0.36840286, 0.0, 0.63159714]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
46,"[([0.0, 0.59097135, 0.40902865], [0.60605198, 0.0, 0.39394802]), ([0.0, 0.59097135, 0.40902865], [0.60605198, 0.0, 0.39394802]), ([0.0, 0.59097135, 0.40902865], [0.60605198, 0.0, 0.39394802]), ([0.0, 0.59097135, 0.40902865], [0.60605198, 0.0, 0.39394802]), ([0.0, 0.59097135, 0.40902865], [0.60605198, 0.0, 0.39394802]), ([0.0, 0.59097135, 0.40902865], [0.60605198, 0.0, 0.39394802]), ([0.0, 0.59097135, 0.40902865], [0.60605198, 0.0, 0.39394802]), ([0.0, 0.59097135, 0.40902865], [0.60605198, 0.0, 0.39394802]), ([0.0, 0.59097135, 0.40902865], [0.60605198, 0.0, 0.39394802]), ([0.0, 0.59097135, 0.40902865], [0.60605198, 0.0, 0.39394802])]"
47,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
48,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
49,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
50,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
51,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.42890003, 0.0, 0.57109997], [0.36359379, 0.0, 0.63640621]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.42890003, 0.0, 0.57109997], [0.36359379, 0.0, 0.63640621]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.42890003, 0.0, 0.57109997], [0.36359379, 0.0, 0.63640621]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
52,"[([0.4053688, 0.5946312, 0.0], [0.0, 0.76574198, 0.23425802]), ([0.4053688, 0.5946312, 0.0], [0.0, 0.76574198, 0.23425802]), ([0.4053688, 0.5946312, 0.0], [0.0, 0.76574198, 0.23425802]), ([0.4053688, 0.5946312, 0.0], [0.0, 0.76574198, 0.23425802]), ([0.4053688, 0.5946312, 0.0], [0.0, 0.76574198, 0.23425802]), ([0.4053688, 0.5946312, 0.0], [0.0, 0.76574198, 0.23425802]), ([0.4053688, 0.5946312, 0.0], [0.0, 0.76574198, 0.23425802]), ([0.4053688, 0.5946312, 0.0], [0.0, 0.76574198, 0.23425802]), ([0.4053688, 0.5946312, 0.0], [0.0, 0.76574198, 0.23425802]), ([0.4053688, 0.5946312, 0.0], [0.0, 0.76574198, 0.23425802])]"
53,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
54,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
55,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.90401469, 0.09598531], [0.2366512, 0.0, 0.7633488]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.90401469, 0.09598531], [0.2366512, 0.0, 0.7633488]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.90401469, 0.09598531], [0.2366512, 0.0, 0.7633488]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
56,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.67192365, 0.32807635], [0.28931687, 0.71068313, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.67192365, 0.32807635], [0.28931687, 0.71068313, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.67192365, 0.32807635], [0.28931687, 0.71068313, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
57,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
58,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.16598095, 0.83401905, 0.0], [0.0, 0.78673527, 0.21326473]), ([0.61814998, 0.0, 0.38185002], [0.30696132, 0.0, 0.69303868]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.16598095, 0.83401905, 0.0], [0.0, 0.78673527, 0.21326473]), ([0.61814998, 0.0, 0.38185002], [0.30696132, 0.0, 0.69303868]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.16598095, 0.83401905, 0.0], [0.0, 0.78673527, 0.21326473]), ([0.61814998, 0.0, 0.38185002], [0.30696132, 0.0, 0.69303868]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
59,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
60,"[([0.0, 0.30432435, 0.69567565], [0.59384786, 0.0, 0.40615214]), ([0.0, 0.30432435, 0.69567565], [0.59384786, 0.0, 0.40615214]), ([0.0, 0.30432435, 0.69567565], [0.59384786, 0.0, 0.40615214]), ([0.0, 0.30432435, 0.69567565], [0.59384786, 0.0, 0.40615214]), ([0.0, 0.30432435, 0.69567565], [0.59384786, 0.0, 0.40615214]), ([0.0, 0.30432435, 0.69567565], [0.59384786, 0.0, 0.40615214]), ([0.0, 0.30432435, 0.69567565], [0.59384786, 0.0, 0.40615214]), ([0.0, 0.30432435, 0.69567565], [0.59384786, 0.0, 0.40615214]), ([0.0, 0.30432435, 0.69567565], [0.59384786, 0.0, 0.40615214]), ([0.0, 0.30432435, 0.69567565], [0.59384786, 0.0, 0.40615214])]"
61,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
62,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
63,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
64,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.54979034, 0.45020966], [0.31192635, 0.68807365, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.54979034, 0.45020966], [0.31192635, 0.68807365, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.54979034, 0.45020966], [0.31192635, 0.68807365, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
65,"[([0.07474913, 0.22755898, 0.69769189], [0.33777339, 0.18273655, 0.47949006]), ([0.07474913, 0.22755898, 0.69769189], [0.33777339, 0.18273655, 0.47949006]), ([0.07474913, 0.22755898, 0.69769189], [0.33777339, 0.18273655, 0.47949006]), ([0.07474913, 0.22755898, 0.69769189], [0.33777339, 0.18273655, 0.47949006]), ([0.07474913, 0.22755898, 0.69769189], [0.33777339, 0.18273655, 0.47949006]), ([0.07474913, 0.22755898, 0.69769189], [0.33777339, 0.18273655, 0.47949006]), ([0.07474913, 0.22755898, 0.69769189], [0.33777339, 0.18273655, 0.47949006]), ([0.07474913, 0.22755898, 0.69769189], [0.33777339, 0.18273655, 0.47949006]), ([0.07474913, 0.22755898, 0.69769189], [0.33777339, 0.18273655, 0.47949006]), ([0.07474913, 0.22755898, 0.69769189], [0.33777339, 0.18273655, 0.47949006])]"
66,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.91559261, 0.08440739], [0.36510433, 0.63489567, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.91559261, 0.08440739], [0.36510433, 0.63489567, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.91559261, 0.08440739], [0.36510433, 0.63489567, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
67,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.216524, 0.783476, 0.0], [0.22065767, 0.0, 0.77934233]), ([0.0, 0.04980845, 0.95019155], [0.0, 0.32003728, 0.67996272]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.216524, 0.783476, 0.0], [0.22065767, 0.0, 0.77934233]), ([0.0, 0.04980845, 0.95019155], [0.0, 0.32003728, 0.67996272])]"
68,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
